State,Year,Category,Project,Company,Jobs Created,Qualified Expenditures,Incentive Issued
Connecticut,2016,Film and Digital Media Production Tax Credit,,"A&E Television Networks, LLC",,"$73,225,873","$10,907,039"
New York,2016,Film/TV,Americans Season 3,"TVM Productions, Inc.","2,755","$47,489,359","$10,892,183"
New York,2016,Film/TV,Leftovers Season 1,Warner Bros TV,"3,146","$44,191,076","$10,725,928"
Pennsylvania,,,Television Series - Gone,"Open 4 Business Productions, LLC",135,,"$10,701,552"
Connecticut,2013,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,,"$10,679,930"
Louisiana,2011,Feature Film,Headshot,After Dark / Signature Films,,"$34,422,661","$10,582,918"
New York,2015,Film/TV,Americans Season 2,"TVM Productions, Inc","2,406","$44,797,141","$10,535,964"
Louisiana,2016,TV Series,Scream Season 2,Next Productions LLC,,"$31,371,520","$10,534,166"
New York,2015,Film/TV,Hostages Season 1,Warner Bros Television,"3,231","$44,664,827","$10,486,260"
Louisiana,2015,TV Series,Zoo Season 1,Danni Productions LLC (CBS Studios),,"$32,316,883","$10,385,670"
Louisiana,2014,Feature Film,Busted,DMWT,,"$33,310,056","$10,369,301"
California,2017,Relocating TV Series,Teen Wolf Cycle 6,Viacom International,150,"$41,307,000","$10,326,000"
New York,2015,Film/TV,Orange is the New Black Season 3,"Lady Prison Productions, Inc.","3,573","$49,003,866","$10,277,247"
Connecticut,2008,Film and Digital Media Production Tax Credit,,"Double Dutch Bus Productions, Inc.",,"$34,106,109","$10,231,833"
Connecticut,2014,Film and Digital Media Production Tax Credit,,ESPN Internet Ventures,,,"$10,200,883"
New York,2015,Film/TV,Power Season 1 (13/14),,"3,485","$43,654,517","$10,200,275"
Louisiana,2015,TV Series,Salem Season 2,Breakout Kings Productions LLC,,"$32,175,713","$10,118,682"
Louisiana,2012,Feature Film,Django Unchained,SuperCoolManChu Too LLC,,"$32,781,626","$10,091,803"
Louisiana,2012,Feature Film,Dogfight (The Campaign),Hazardous Films LLC (Warner Bros.),,"$32,745,027","$10,052,225"
Pennsylvania,,,"Where'd You Go, Bernadette","Twenty Mile Productions, LLC",462,,"$10,048,252"
California,2016,Relocating TV Series,Teen Wolf Cycle 5,Viacom International,150,"$40,090,000","$10,022,000"
Louisiana,2016,TV Series,NCIS New Orleans Season 2,Danni Productions LLC (CBS Studios),,"$29,685,304","$10,020,961"
New York,2016,Film/TV,Unforgettable Season 3,Woodridge Productions Inc.,"3,249","$42,022,009","$10,011,831"
Pennsylvania,,,GAME BRAIN aka Concussion,"Real Heaven, Inc.",0,,"$10,006,751"
Tennessee,2015,TV Series,Nashville Season (2),,,"$39,957,180","$9,989,295"
California,2018,Relocating TV Series,Timeless 2,Universal Television LLC,467,"$39,829,000","$9,957,000"
California,2017,Recurring TV Series,American Horror Story 7,Twentieth Century Fox Film Corporation,461,"$36,796,000","$9,956,074"
California,2018,Recurring TV Series,This Is Us 2,Twentieth Century Fox Film Corporation,502,"$49,454,000","$9,909,000"
New York,2014,Film/TV,Orange Is The New Black Season 2,Lady Prison Productions Inc.,"3,404","$44,127,724","$9,899,165"
Connecticut,2009,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,,"$9,828,610"
Louisiana,2015,TV Series,NCIS NOLA,Danni Productions LLC (CBS Studios),,"$31,135,281","$9,764,562"
Louisiana,2011,TV Series,Treme - Season 2,Fee Nah Nay LLC (HBO),,"$30,928,392","$9,753,627"
Connecticut,2013,Film and Digital Media Production Tax Credit,,ESPN Internet Ventures,,,"$9,734,345"
California,2017,TV Series (Basic Cable),American Crime Story 2: Katrina,Pacific 2.1 Entertainment Group,497,"$48,601,000","$9,720,000"
Connecticut,2013,Film and Digital Media Production Tax Credit,,"Remote Broadcasting, Inc.",,"$78,924,910","$9,714,417"
North Carolina,2014,,Banshee - Season 3,"Screaming Spirit Productions, LLC",,"$38,727,730","$9,681,933"
Louisiana,2012,TV Series,Treme- Season 3,Fee Nah Nay LLC (HBO),,"$30,664,191","$9,637,471"
South Carolina,2015,MOW's/Cable Movies/TV Series/Pilots,Vice Principals - Seasons 1 & 2,,"2,614","$16,652,642","$9,614,707"
Louisiana,2014,TV Series,Salem,Breakout Kings Productions LLC,,"$30,364,154","$9,542,011"
Rhode Island,2006,Feature,Underdog,,,"$41,538,137","$9,535,143"
Louisiana,2012,Feature Film,The End of the World,Seven Heads Investments LLC,,"$30,711,632","$9,520,330"
Connecticut,2011,Film and Digital Media Production Tax Credit,,AWTY Productions,,,"$9,453,622"
Connecticut,2012,Film and Digital Media Production Tax Credit,,"GHS Productions, LLC",,"$31,298,545","$9,389,564"
Pennsylvania,,,Creed,Creed Productions LLC,"5,966",,"$9,366,157"
Massachusetts,2012,,The Heat fka Female Buddy Cop Movie,Twentieth Century Fox Film Corp.,,,"$9,334,637"
Pennsylvania,,,Do No Harm - Series,"Open 4 Business Productions, LLC",100,,"$9,305,593"
California,2016,Recurring TV Series,American Horror Story 6,Twentieth Century Fox Film Corporation,419,"$45,473,000","$9,288,000"
Louisiana,2012,Feature Film,Homefront,Homefront Productions Inc. (NU Image),,"$30,054,713","$9,284,646"
Connecticut,2016,Film and Digital Media Production Tax Credit,,ESPN Internet Ventures,,"$157,271,456","$9,235,274"
California,2016,Relocating TV Series,Scream Queens 2,Twentieth Century Fox Film Corporation,371,"$49,729,000","$9,200,000"
New York,2016,Film/TV,Unforgettable Season 2,Woodridge Productions Inc,"2,559","$39,343,364","$9,171,632"
Pennsylvania,,,Titans / Outsiders Series - Season #1.,"Woodridge Productions, Inc.",150,,"$9,156,878"
New York,2016,Film/TV,Black Box Season 1 (13/14),,"2,640","$39,186,341","$9,154,120"
Connecticut,2012,Film and Digital Media Production Tax Credit,,ESPN Internet Ventures,,,"$9,103,751"
California,2016,Relocating TV Series,American Horror Story 5,Twentieth Century Fox Film Corporation,485,"$36,389,000","$9,097,000"
North Carolina,2012,,Homeland,Pacific 2.1 Entertainment Group,"3,262","$36,361,827","$9,090,456"
California,2015,TV Series (Basic Cable),Major Crimes 3,Warner Bros. Pictures,130,"$45,454,000","$9,090,000"
Ohio,2015,,W hite Boy Rick,Detroit City Productions LLC,,,"$9,042,716"
North Carolina,2011,,One Tree Hill,"WB Studio Enterprises, Inc.","5,057","$36,107,380","$9,026,845"
South Carolina,2012,MOW's/Cable Movies/TV Series/Pilots,Army Wives - Season 6,,"2,290","$22,698,467","$8,992,810"
Connecticut,2015,Film and Digital Media Production Tax Credit,,ESPN Internet Ventures,,,"$8,907,185"
Connecticut,2016,Film and Digital Media Production Tax Credit,,Blue Sky Studios,,"$29,627,733","$8,888,320"
North Carolina,2014,,Under the Dome,"Eye Productions, Inc.",500,"$35,212,384","$8,803,096"
Massachusetts,2014,,"""Basic Math"" AKA ""Sex Tape""Columbia Pictures Industries Inc.",Columbia Pictures Industries Inc,,,"$8,797,872"
North Carolina,2014,,Banshee - Season 2,"Screaming Spirit Productions, Inc.",,"$35,051,297","$8,762,824"
Pennsylvania,,,QVC Television Programs 9/1/2015 - 8/31/2016,"QVC, Inc.",0,,"$8,699,502"
Pennsylvania,,,QVC Television Programs 9/1/14-8/31/15,"QVC, Inc.",0,,"$8,623,082"
New York,2016,Film/TV,"Slap, The","Universal Television, LLC","2,617","$37,410,328","$8,564,270"
Pennsylvania,,,QVC Television Programs 7/1/2013 - 6/30/2014,"QVC, Inc.",0,,"$8,554,404"
Tennessee,2018,TV Series,Nashville Season 5,,,"$47,646,702","$8,500,000"
New York,2016,Film/TV,Happyish Season 1,Possible Productions Inc.,"2,424","$35,227,413","$8,484,635"
California,2016,TV Series (Basic Cable),Pretty Little Liars 6,Horizon Scripted Television,443,"$42,357,000","$8,471,000"
Louisiana,2013,TV Series,Star-Crossed,Danni Productions LLC (CBS Studios),,"$26,667,278","$8,462,745"
California,2017,Relocating TV Series,The Affair 4,Possible Productions Inc.,254,"$33,629,000","$8,407,000"
California,2017,Relocating TV Series,Ballers 3,"Chori Perros Productions, LLC",344,"$33,564,000","$8,391,000"
Louisiana,2014,Feature Film,Pitch Perfect 2,Pitch Slapped Productions LLC,,"$26,987,997","$8,380,342"
Louisiana,2015,Feature Film,Roots,Roots Investments LLC,,"$24,401,969","$8,372,491"
North Carolina,2013,,Under the Dome,"Eye Productions, Inc.","1,500","$33,432,520","$8,358,130"
Pennsylvania,,,UNTOUCHABLE,"Feel Good Films, Inc. c/o The Weinstein Company",200,,"$8,357,518"
Utah,2015,,Blood & Oil,,,
California,2017,New TV Series,Untitled Seth MacFarlane 1,Twentieth Century Fox Film Corporation,506,"$40,026,000","$8,337,000"
California,2016,TV Series (Basic Cable),Major Crimes 4,Warner Bros. Pictures,137,"$41,687,000","$8,337,000"
Connecticut,2012,Film and Digital Media Production Tax Credit,,"Wedding Productions, Inc.",,"$27,783,584","$8,335,075"
California,2017,TV Series (Basic Cable),American Crime Story 3: Versace,Pacific 2.1 Entertainment Group,508,"$41,560,000","$8,312,000"
Louisiana,2014,Feature Film,Daddy's Home,Governemnt Issue LLC,,"$26,926,692","$8,236,041"
California,2017,Relocating TV Series,The OA 2,"Lunar Mining, LLC",427,"$32,811,000","$8,202,000"
California,2018,New TV Series,S.W.A.T. 1,CBS Television Studios,517,"$40,675,000","$8,195,000"
New York,2016,Film/TV,Show Me A Hero,"Nimby Productions, LLC","3,381","$36,749,029","$8,184,962"
New York,2015,Film/TV,Carrie Diaries Season 2,,"3,602","$32,484,693","$8,121,893"
North Carolina,2013,,Banshee,"Screaming Spirit Productions, LLC","2,280","$32,482,813","$8,120,703"
Louisiana,2013,Feature Film,Selfless,Shedding Investments LLC,,"$26,110,598","$8,112,506"
Rhode Island,2010,TV Series,Body of Proof -Series,,,"$33,432,440","$8,099,208"
Massachusetts,2014,,American Hustle,"White Dog Productions, LLC",,,"$8,097,916"
California,2016,New TV Series,Westworld 1,"Autonomy Productions, LLC",482,"$39,913,000","$8,084,000"
Louisiana,2011,Feature Film,Parker,Flashfire Productionjs LLC,,"$26,356,303","$8,076,324"
Illinois,,Film,Autumn Frost,,,
New York,2015,Film/TV,Affair Season 1,Possible Productions Inc.,"2,485","$34,910,531","$8,003,749"
Tennessee,2017,TV Series,Nashville Season 4,,,"$44,549,589","$8,000,000"
New York,2016,Film/TV,Public Morals Season 1,Turner North Center Productions,"2,460","$32,351,879","$7,960,755"
California,2017,TV Series (Basic Cable),Major Crimes 5,Warner Bros. Television,192,"$39,699,000","$7,939,000"
Connecticut,2008,Film and Digital Media Production Tax Credit,,"DWNY Productions, Inc.",,"$26,384,996","$7,915,499"
Louisiana,2012,Feature Film,Django Unchained,SuperCoolManChu Too LLC,,"$25,246,836","$7,876,938"
South Carolina,2016,MOW's/Cable Movies/TV Series/Pilots,Mr. Mercedes,,982,"$14,609,865","$7,827,009"
Louisiana,2012,Feature Film,The Host,Host Investments LC,,"$25,219,419","$7,803,793"
North Carolina,2014,,Homeland,Pacific 2.1 Entertainment Group,,"$31,029,540","$7,757,385"
North Carolina,2015,,Homeland,Pacific 2.1 Entertainment Group,,"$31,029,540","$7,757,385"
California,2017,New TV Series,"Here, Now 1","Weirdo Productions, LLC",347,"$38,445,000","$7,730,000"
New York,2015,Film/TV,Other Woman,Twentieth Century Fox,"2,749","$37,829,874","$7,727,798"
Pennsylvania,,,FEATURE FILM - PEPPERMINT,Lakeshore Entertainment Group LLC,"1,046",,"$7,676,421"
North Carolina,2013,,Homeland,Pacific 2.1 Entertainment Group,"1,509","$30,633,641","$7,658,410"
Louisiana,2015,Feature Film,Daddy's Home,Governemnt Issue LLC,,"$25,117,665","$7,655,322"
California,2017,TV Series (Basic Cable),Switched at Birth 5,Prodco,348,"$38,221,000","$7,644,000"
Pennsylvania,,,Eternal Springs,Lazarus Films LLC,150,,"$7,636,427"
Connecticut,2012,Film and Digital Media Production Tax Credit,,"Remote Broadcasting, Inc.",,,"$7,616,717"
Connecticut,2016,Film and Digital Media Production Tax Credit,,"NBC Sports Network, LP",,"$25,311,498","$7,593,449"
New York,2017,Film/TV,Sisters,Nest Film Productions LLC,"1,848","$33,174,826","$7,578,302"
New York,2016,Film/TV,Vinyl Pilot,"Broken Record Prodns, LLC","2,479","$29,600,008","$7,574,455"
Connecticut,2012,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,,"$7,535,478"
California,2017,New TV Series,Messiah,"Old Story Pictures, LLC",386,"$37,573,000","$7,514,000"
Texas,2015,Television Program,"""REVOLUTION"" SEASON 2",,,,"$7,497,600"
Michigan,2016,Feature Film,Transformers 5 - Part 2 (fka Looking for Alaska 2015-019),,,,"$7,481,818"
Louisiana,2016,Feature Film,Jack Reacher 2,Government Issue LLC (Paramount),,"$23,378,887","$7,445,133"
New York,2017,Film/TV,Trainwreck,What a Wreck LLC,"2,721","$34,242,675","$7,424,394"
Louisiana,2013,Feature Film,Focus,Chime Films LLC,,"$23,884,758","$7,413,884"
California,2017,TV Series (Basic Cable),Rizzoli & Isles 7,Horizon Scripted Television,420,"$37,409,000","$7,409,000"
Louisiana,2013,Feature Film,Maze Runner,Fox Louisiana Productions LLC,,"$23,315,612","$7,406,198"
Illinois,,TV,Steve Harvey Season 2 Project 4,,,
Connecticut,2009,Film and Digital Media Production Tax Credit,,"Green Scarf Productions, Inc.",,"$24,656,588","$7,396,976"
Illinois,,TV,Crisis Season 1 (Episodes 1-12),,,
Louisiana,2012,Feature Film,The Butler,Butler Productions LLC,,"$23,179,593","$7,364,441"
New York,2016,Film/TV,How to be Single,New Line Productions Inc.,"2,986","$34,885,082","$7,361,511"
Connecticut,2011,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,,"$7,276,263"
California,2018,Recurring TV Series,Veep 7,"Second In Command Productions, LLC",657,"$36,110,000","$7,272,000"
New York,2016,Film/TV,Unbreakable Kimmy Schmidt Season 1,Universal Television LLC,"2,316","$34,207,913","$7,246,919"
California,2016,Feature Film,Bright,FogTeeth Productions LLC.,174,"$35,452,000","$7,233,000"
New York,2017,Film/TV,American Odyssey - Season 1,Universal Television LLC,"3,008","$30,662,772","$7,200,009"
Connecticut,2010,Film and Digital Media Production Tax Credit,,"World Wrestling Entertainment, Inc.",,,"$7,173,772"
Louisiana,2011,Feature Film,Dogfight (The Campaign),Hazardous Films LLC (Warner Bros.),,"$23,299,353","$7,162,174"
Louisiana,2015,TV Series,Into the Badlands,Badlands Productions I LLC,,"$22,384,810","$7,102,492"
California,2017,Feature Film,A Star is Born,WB Studio Enterprises Inc.,174,"$34,158,000","$7,076,724"
Ohio,2017,,Escape Plan 3,Emmett Furla Oasis Films LLC,,,"$7,022,548"
Louisiana,2011,Feature Film,Contraband,Farraday Films Investments LLC (Universal),,"$22,803,252","$7,012,343"
South Carolina,2013,MOW's/Cable Movies/TV Series/Pilots,Reckless - Season 1,,"1,681","$16,200,722","$6,996,286"
California,2017,New TV Series,Pure Genius 1,Universal Television LLC,223,"$34,331,000","$6,986,000"
Tennessee,2016,TV Series,Nashville Season 3,,,"$49,666,452","$6,950,000"
South Carolina,2016,MOW's/Cable Movies/TV Series/Pilots,Outcast - Season 2,,0,"$29,052,137","$6,943,097"
California,2017,Recurring TV Series,Shooter 2,Paramount Pictures Corp.,237,"$34,350,000","$6,900,000"
California,2015,Feature Film,American Sniper,Warner Bros. Pictures,400,"$34,086,000","$6,817,000"
Pennsylvania,,,Paranoia,"Paranoia Productions, LLC",300,,"$6,772,234"
Louisiana,2015,Feature Film,Geostorm,Dutch Boy Productions LLC,,"$21,996,516","$6,770,453"
Illinois,,Film,Jupiter Ascending,,,
California,2017,TV Series (Basic Cable),Pretty Little Liars 7,Horizon Scripted Television,365,"$33,555,000","$6,711,000"
New York,2016,Film/TV,Nurse Jackie Season 7,,"2,628","$40,345,331","$6,706,027"
Louisiana,2015,TV Series,Quarry,Railway Spine Productions LLC,,"$21,116,796","$6,688,904"
Illinois,,TV,Betrayal Series 1,,,
Connecticut,2011,Film Infrastructure Tax Credit,,"ESPN, Inc. Bldg. C",,"$33,426,976","$6,685,395"
New York,2017,Film/TV,Collateral Beauty,"New Line Productions, Inc.","2,447","$40,279,219","$6,668,716"
Louisiana,2015,TV Series,Underground,Yandr Productions LLC,,"$20,661,368","$6,612,315"
California,2016,Relocating TV Series,Veep 5,Home Box Office,430,"$26,308,630","$6,577,000"
Connecticut,2016,Film Infrastructure Tax Credit,,"NBCUniversal Media, LLC",,"$150,550,524","$6,564,524"
Connecticut,2012,Film and Digital Media Production Tax Credit,,AWTY Productions,,"$59,359,689","$6,563,970"
New York,2014,Film/TV,Nurse Jackie Season 6,"Nurse Productions, Inc.","2,689","$37,264,706","$6,563,906"
Louisiana,2014,Feature Film,American Ultra,Ultra Productions LLC,,"$20,741,216","$6,548,661"
California,2016,TV Series (Basic Cable),Justified 6,Sony Pictures Television,471,"$32,704,000","$6,540,000"
California,2017,Recurring TV Series,Veep 6,"Second In Command Productions, LLC",661,"$32,373,000","$6,512,000"
Louisiana,2014,Feature Film,Best of Me,Cine Productions LLC,,"$20,683,003","$6,499,752"
Connecticut,2008,Film and Digital Media Production Tax Credit,,"EF Productions, Inc.",,,"$6,485,430"
California,2016,New TV Series,13 Reasons Why 1,Paramount Pictures Corp.,255,"$32,477,000","$6,458,000"
California,2016,New TV Series,Rosewood 1,Twentieth Century Fox Film Corporation,456,"$30,804,000","$6,431,000"
Pennsylvania,,,QVC Television Programs,"QVC, Inc.",0,,"$6,415,379"
California,2017,New TV Series,This is Us 1,Twentieth Century Fox Film Corporation,373,"$31,976,000","$6,407,000"
Connecticut,2011,Film and Digital Media Production Tax Credit,,"Remote Broadcasting, Inc.",,,"$6,346,340"
Pennsylvania,,,Those Who Kill,"Pacific 2.1 Entertainment Group, Inc.",0,,"$6,339,061"
California,2017,Recurring TV Series,Animal Kingdom 2,Horizon Scripted Television Inc.,322,"$31,106,000","$6,327,000"
New York,2015,Film/TV,Girls Season 4,Half a Yoghurt Prodns LLC,"2,467","$33,958,519","$6,319,531"
North Carolina,2012,,One Tree Hill,"WB Studio Enterprises, Inc.","3,565","$25,261,340","$6,315,335"
California,2015,TV Series (Basic Cable),Pretty Little Liars 5,Horizon Scripted Television,443,"$31,500,000","$6,300,000"
Louisiana,2012,Feature Film,Broken City,Georgia Film Seven Investments LLC,,"$20,567,643","$6,292,349"
New York,2017,Film/TV,Money Monster,"Tristar Productions, Inc.","3,062","$31,482,193","$6,250,186"
Connecticut,2007,Film and Digital Media Production Tax Credit,,"Bronx Productions, Inc",,"$20,809,016","$6,242,705"
North Carolina,2015,,Secrets and Lies,"ABC, Inc.",551,"$24,954,833","$6,238,708"
Louisiana,2014,TV Series,Astronauts Wives Club,Produced Bayou Inc. (ABC Studios),,"$19,620,475","$6,223,496"
New York,2017,Film/TV,Girls - Season 5,"Half A Yogurt Productions, LLC","2,310","$35,768,128","$6,203,770"
New York,2016,Film/TV,John Wick,PPNY Inc.,"1,666","$29,676,890","$6,123,783"
Illinois,,TV,Mind Games aka Influence S1,,,
Illinois,,Film,Transformers 4,,,
California,2017,Recurring TV Series,Crazy Ex Girlfriend Season 3,CBS Studios Inc.,268,"$30,233,000","$6,074,000"
Tennessee,2015,TV Series,NASHVILLE SEASON (1),,,"$35,592,604","$6,050,743"
New York,2016,Film/TV,Alpha House Season 2,"Picrow, Inc.","2,161","$28,089,746","$6,041,016"
Louisiana,2015,TV Series,Underground,Yandr Productions LLC,,"$18,096,769","$6,023,623"
California,2015,Relocating TV Series,Teen Wolf Cycle 4,Viacom International,150,"$24,069,000","$6,017,000"
North Carolina,2015,,The Longest Ride,Twentieth Century Fox Film Corporation,583,"$23,954,403","$5,988,601"
California,2018,Recurring TV Series,Code Black 3,ABC Studios,446,"$29,857,000","$5,988,000"
Connecticut,2008,Film and Digital Media Production Tax Credit,,"Lucky Cricket Productions, LLC",,,"$5,982,067"
California,2017,Recurring TV Series,Code Black 2,ABC Studios,443,"$29,733,000","$5,979,000"
