zipcode,lat,lon
11236,40.65701,-73.91581
11237,40.702192,-73.91807
11238,40.680593,-73.963928
11239,40.649207,-73.876754
11241,40.645099,-73.945032
11242,40.645099,-73.945032
11249,40.645099,-73.945032
11251,40.645099,-73.945032
11354,40.766382,-73.82619
11355,40.750317,-73.813903
11356,40.784369,-73.843641
11357,40.786173,-73.819069
11358,40.760426,-73.795788
11359,40.79278,-73.776701
11360,40.756745,-73.803301
11361,40.764438,-73.773026
11362,40.758364,-73.735759
11363,40.771467,-73.745323
11364,40.742772,-73.758831
11365,40.738884,-73.790067
11366,40.727277,-73.790772
11367,40.730164,-73.821997
11368,40.748751,-73.854333
11369,40.762741,-73.869969
11370,40.763771,-73.891451
11371,40.7712,-73.867514
11372,40.751146,-73.882508
11373,40.73509,-73.877562
11374,40.722861,-73.862069
11375,40.723041,-73.843688
11377,40.748372,-73.905445
11378,40.722848,-73.908413
11379,40.71924,-73.892791
11385,40.702404,-73.885979
11411,40.685535,-73.737064
11412,40.695829,-73.761747
11413,40.664542,-73.755926
11414,40.658825,-73.84382
11415,40.707133,-73.829247
11416,40.684546,-73.850708
11417,40.675056,-73.844315
11418,40.698566,-73.83127
11419,40.686769,-73.822979
11420,40.674432,-73.819013
11421,40.691917,-73.85666
11422,40.659418,-73.736866
11423,40.716888,-73.766897
11426,40.736798,-73.723176
11427,40.729293,-73.749811
11428,40.720639,-73.742099
11429,40.710076,-73.740151
11430,40.655246,-73.797769
11432,40.714531,-73.794435
11433,40.696533,-73.786776
11434,40.674583,-73.78156
11435,40.700229,-73.797278
11436,40.675283,-73.800696
11691,40.601475,-73.76191
11692,40.5923,-73.793273
11693,40.59846,-73.81427
11694,40.57661,-73.84276
11695,40.651378,-73.870779
11697,40.559365,-73.906713
